loan_type,loan_amount,interest_rate,loan_term,employment_type,income_level,credit_score,gender,marital_status,education_level,default_status
Home Loan,67852,0.080876742,17,Self-employed,Low,716,Male,Single,Master,0
Car Loan,46968,0.093689305,41,Full-time,Low,651,Male,Divorced,Master,0
Personal Loan,18508,0.086325754,57,Self-employed,Medium,374,Female,Single,Bachelor,0
Education Loan,23005,0.079105185,46,Self-employed,High,335,Female,Single,Bachelor,1
Home Loan,55575,0.054475012,54,Full-time,Low,541,Male,Single,PhD,0
Home Loan,81742,0.067854127,21,Self-employed,Low,362,Female,Divorced,PhD,0
Home Loan,19971,0.082817005,43,Self-employed,Medium,808,Male,Single,Master,0
Education Loan,26599,0.068192389,53,Part-time,High,487,Female,Married,PhD,0
Personal Loan,88592,0.083050392,53,Part-time,Low,392,Female,Single,Master,0
Personal Loan,67914,0.090226151,14,Part-time,Low,304,Male,Married,High School,0
Home Loan,68055,0.094437543,37,Part-time,High,737,Male,Single,High School,0
Education Loan,88697,0.06160731,26,Part-time,Medium,465,Male,Married,PhD,0
Car Loan,6355,0.112949691,28,Part-time,Medium,745,Female,Single,Bachelor,1
Education Loan,55120,0.09151219,38,Part-time,Low,324,Male,Married,PhD,0
Home Loan,75619,0.079974288,29,Full-time,Low,807,Female,Married,PhD,1
Education Loan,39342,0.096343049,30,Part-time,Medium,397,Female,Single,PhD,0
Personal Loan,86992,0.115481117,23,Self-employed,Medium,567,Female,Divorced,Bachelor,1
Personal Loan,79860,0.058419198,35,Full-time,Low,692,Female,Single,PhD,0
Personal Loan,3257,0.07662106,16,Part-time,High,584,Male,Divorced,Bachelor,0
Car Loan,28364,0.044323525,35,Part-time,High,408,Male,Divorced,PhD,0
Education Loan,25972,0.082889773,38,Self-employed,Low,326,Male,Divorced,Bachelor,0
Home Loan,27654,0.085480914,59,Full-time,Low,354,Male,Divorced,Bachelor,0
Home Loan,81769,0.079412568,41,Self-employed,Low,432,Female,Divorced,Bachelor,0
Personal Loan,82423,0.070181996,26,Self-employed,Low,351,Male,Divorced,Bachelor,0
Home Loan,30320,0.049257282,58,Full-time,Medium,792,Male,Single,Bachelor,0
Car Loan,21808,0.085603005,49,Self-employed,High,597,Male,Married,High School,1
Education Loan,53389,0.101831517,55,Full-time,High,698,Male,Married,Master,1
Car Loan,96690,0.071134723,45,Self-employed,High,317,Female,Single,Master,0
Education Loan,35773,0.086600899,38,Full-time,Medium,545,Female,Single,Bachelor,1
Education Loan,52168,0.056477835,31,Part-time,Low,802,Female,Single,Master,0
Education Loan,28747,0.086858196,52,Full-time,High,388,Female,Divorced,Bachelor,1
Home Loan,77396,0.074099266,43,Self-employed,High,502,Male,Divorced,PhD,0
Home Loan,84692,0.068563731,15,Self-employed,Medium,539,Female,Married,High School,0
Home Loan,58505,0.068594545,16,Part-time,Low,789,Male,Single,PhD,0
Home Loan,86896,0.074095826,19,Part-time,Low,312,Male,Married,PhD,0
Home Loan,19135,0.0857365,33,Part-time,Low,614,Male,Married,Bachelor,0
Home Loan,91887,0.060317552,53,Full-time,High,497,Male,Divorced,PhD,0
Personal Loan,97035,0.07404327,18,Full-time,Medium,542,Female,Divorced,High School,0
Personal Loan,48377,0.079377923,33,Full-time,High,806,Female,Married,PhD,1
Personal Loan,24554,0.063514412,57,Full-time,Medium,342,Male,Divorced,High School,0
Car Loan,63491,0.106949978,41,Full-time,Medium,629,Female,Divorced,High School,0
Car Loan,56621,0.067197568,48,Self-employed,High,728,Female,Divorced,Bachelor,0
Car Loan,59283,0.069958446,27,Self-employed,Medium,461,Male,Married,High School,0
Education Loan,86140,0.065325381,26,Self-employed,Medium,734,Male,Married,PhD,1
Education Loan,17923,0.106977201,16,Full-time,Medium,532,Female,Married,Bachelor,0
Car Loan,48591,0.088293578,14,Part-time,Low,410,Male,Single,High School,0
Personal Loan,63261,0.06595112,34,Self-employed,Low,531,Female,Married,High School,1
Home Loan,55336,0.096593473,21,Self-employed,Low,572,Male,Divorced,Master,0
Home Loan,75083,0.08301048,16,Full-time,Low,340,Male,Married,Bachelor,0
Home Loan,61948,0.083858801,34,Full-time,High,765,Male,Single,Master,0
Education Loan,34002,0.074832842,26,Full-time,High,376,Male,Divorced,High School,0
Car Loan,81098,0.06875876,29,Self-employed,High,789,Female,Married,Master,0
Personal Loan,74016,0.085066491,36,Part-time,Low,416,Female,Married,PhD,0
Home Loan,27672,0.071823692,19,Full-time,High,733,Female,Divorced,PhD,0
Car Loan,5213,0.107251334,42,Full-time,Low,318,Female,Married,High School,0
Car Loan,11293,0.060960633,32,Part-time,Low,495,Male,Single,Master,0
Education Loan,56860,0.103042352,13,Part-time,Medium,750,Male,Divorced,Master,0
Education Loan,63507,0.078330217,33,Part-time,Medium,724,Female,Married,Bachelor,0
Education Loan,58134,0.084486286,19,Full-time,Low,693,Female,Divorced,PhD,0
Education Loan,3100,0.092497366,34,Full-time,Medium,583,Female,Married,PhD,0
Car Loan,62997,0.070546261,43,Self-employed,Medium,333,Female,Married,Bachelor,1
Education Loan,29172,0.092963726,19,Self-employed,Medium,594,Female,Divorced,PhD,0
Home Loan,21132,0.039386842,15,Self-employed,Medium,550,Male,Married,Master,0
Personal Loan,19199,0.069200157,41,Self-employed,High,638,Female,Married,Master,0
Education Loan,37609,0.066139058,30,Self-employed,Medium,739,Female,Divorced,PhD,0
Home Loan,43965,0.06119741,34,Self-employed,Low,479,Male,Married,Bachelor,0
Personal Loan,9016,0.076775677,29,Full-time,Medium,527,Male,Married,High School,0
Education Loan,40779,0.08578625,40,Self-employed,Medium,322,Female,Divorced,High School,1
Education Loan,32881,0.0905399,34,Full-time,High,626,Female,Single,High School,0
Personal Loan,83594,0.083613151,44,Full-time,High,453,Female,Single,High School,0
Home Loan,25472,0.070014598,58,Part-time,High,445,Male,Single,Master,0
Home Loan,52813,0.085535247,29,Full-time,Medium,551,Female,Single,High School,0
Car Loan,37021,0.081864285,55,Full-time,Low,601,Female,Single,Master,1
Car Loan,55131,0.094040843,44,Full-time,High,369,Male,Single,Master,0
Education Loan,25087,0.091654051,18,Part-time,Medium,842,Male,Divorced,High School,0
Home Loan,13828,0.080457146,39,Full-time,Medium,392,Male,Divorced,High School,0
Home Loan,62610,0.066541205,12,Part-time,Medium,462,Male,Divorced,High School,0
Education Loan,97664,0.070205748,50,Self-employed,High,380,Female,Married,PhD,0
Personal Loan,2401,0.07175316,45,Full-time,Medium,362,Male,Single,PhD,0
Personal Loan,86179,0.075271005,50,Self-employed,High,735,Male,Single,Bachelor,0
Car Loan,16193,0.084020756,30,Full-time,Medium,347,Male,Divorced,Master,0
Education Loan,93389,0.090727616,42,Part-time,Low,744,Female,Married,High School,1
Personal Loan,45864,0.07923322,24,Self-employed,Low,373,Male,Married,PhD,1
Education Loan,21307,0.080241872,35,Full-time,Medium,841,Female,Divorced,Bachelor,0
Home Loan,20611,0.082149595,16,Full-time,High,456,Male,Single,Master,0
Personal Loan,44791,0.07226142,34,Part-time,Medium,786,Female,Married,Master,0
Personal Loan,12950,0.066119116,30,Full-time,Low,565,Female,Single,Master,0
Personal Loan,77240,0.053668432,12,Self-employed,Medium,555,Female,Married,PhD,0
Home Loan,78403,0.06957276,44,Part-time,High,338,Male,Single,High School,0
Car Loan,3745,0.087097182,44,Self-employed,High,354,Female,Married,High School,1
Education Loan,56243,0.069456328,43,Self-employed,High,327,Male,Single,Master,0
Personal Loan,4866,0.076432894,39,Full-time,High,417,Male,Single,Master,0
Home Loan,33245,0.086996469,48,Full-time,Low,669,Female,Single,Bachelor,0
Personal Loan,45724,0.087810342,52,Part-time,High,508,Male,Divorced,Bachelor,0
Education Loan,72354,0.063807007,23,Part-time,High,615,Female,Single,Master,1
Education Loan,52374,0.09495589,20,Part-time,Low,692,Male,Single,Bachelor,0
Personal Loan,31116,0.096910251,22,Self-employed,High,743,Female,Married,PhD,0
Home Loan,82029,0.063052252,44,Self-employed,Low,558,Male,Married,Master,0
Personal Loan,94574,0.067642447,30,Self-employed,High,497,Female,Divorced,Bachelor,0
Home Loan,21447,0.09786636,53,Self-employed,High,744,Male,Married,Master,0
Car Loan,31431,0.077797197,45,Full-time,High,604,Male,Single,High School,0
Personal Loan,18908,0.046703331,18,Part-time,High,638,Female,Divorced,PhD,1
Home Loan,30336,0.059004777,42,Full-time,Medium,828,Male,Divorced,Master,0
Personal Loan,41992,0.076259456,13,Full-time,Medium,353,Male,Divorced,High School,0
Education Loan,56350,0.06255436,30,Self-employed,High,411,Female,Single,Master,0
Education Loan,70561,0.073798643,49,Part-time,High,718,Female,Single,High School,0
Personal Loan,52955,0.080485943,43,Self-employed,High,604,Female,Married,Bachelor,0
Personal Loan,62240,0.101933819,21,Self-employed,Medium,737,Female,Married,High School,0
Home Loan,21093,0.075643191,52,Part-time,High,384,Female,Married,PhD,0
Home Loan,7155,0.096088127,19,Part-time,Low,823,Male,Divorced,PhD,0
Education Loan,47607,0.101431402,37,Full-time,Medium,551,Female,Single,Bachelor,0
Home Loan,34487,0.101514645,41,Self-employed,Medium,425,Male,Married,Master,0
Education Loan,56668,0.084271319,22,Self-employed,Medium,704,Male,Single,PhD,0
Car Loan,21963,0.050550663,52,Self-employed,High,603,Male,Divorced,Bachelor,0
Personal Loan,51124,0.086912373,31,Part-time,Low,327,Male,Single,PhD,0
Home Loan,53870,0.095725998,31,Self-employed,Medium,565,Male,Single,Bachelor,0
Education Loan,57547,0.078783993,20,Self-employed,Low,351,Female,Divorced,PhD,0
Education Loan,65110,0.106168758,19,Self-employed,Low,810,Female,Married,Bachelor,1
Personal Loan,54554,0.092897503,26,Self-employed,Low,506,Female,Single,PhD,0
Personal Loan,21936,0.088524101,45,Full-time,High,810,Female,Single,Master,0
Personal Loan,5426,0.096295711,35,Part-time,High,500,Female,Divorced,High School,0
Home Loan,89839,0.085000548,44,Full-time,High,583,Female,Single,PhD,1
Car Loan,28606,0.042607843,52,Part-time,Medium,656,Male,Single,Bachelor,1
Car Loan,48832,0.072512916,52,Self-employed,Medium,346,Female,Single,Master,0
Car Loan,29151,0.09795752,56,Part-time,Low,436,Female,Divorced,PhD,0
Car Loan,80303,0.06788613,51,Full-time,Medium,429,Female,Single,Bachelor,0
Education Loan,12308,0.076647912,38,Self-employed,High,494,Female,Divorced,High School,0
Home Loan,63522,0.064327455,32,Full-time,High,663,Female,Married,Bachelor,0
Car Loan,46671,0.106758839,16,Full-time,High,731,Male,Single,PhD,0
Car Loan,91306,0.105222387,46,Full-time,High,368,Male,Divorced,Bachelor,0
Home Loan,95108,0.066741967,32,Part-time,Low,757,Male,Divorced,Bachelor,0
Home Loan,3204,0.08220947,15,Full-time,Medium,839,Female,Single,High School,0
Personal Loan,93769,0.069792589,59,Part-time,High,634,Female,Divorced,PhD,0
Personal Loan,88265,0.08922417,27,Full-time,Low,825,Female,Married,PhD,0
Car Loan,32131,0.087645246,42,Full-time,Medium,315,Male,Married,High School,1
Education Loan,53428,0.092175584,37,Part-time,Low,755,Male,Married,Master,0
Personal Loan,34870,0.084978777,46,Part-time,High,809,Female,Married,Bachelor,0
Home Loan,50067,0.124031093,17,Full-time,High,508,Female,Divorced,Bachelor,0
Personal Loan,59585,0.064581144,44,Full-time,High,457,Male,Divorced,Bachelor,0
Personal Loan,22607,0.05434095,32,Self-employed,Medium,636,Male,Married,PhD,0
Home Loan,25968,0.074103647,27,Full-time,High,540,Male,Married,PhD,0
Car Loan,99934,0.056480176,58,Full-time,Medium,357,Female,Married,Bachelor,0
Personal Loan,12908,0.057613066,50,Self-employed,Low,604,Male,Married,PhD,0
Personal Loan,27423,0.06498028,45,Full-time,Medium,644,Female,Married,High School,0
Car Loan,75707,0.066167166,53,Full-time,Low,313,Female,Divorced,High School,0
Personal Loan,79257,0.065680728,26,Part-time,Medium,658,Female,Married,PhD,1
Education Loan,62215,0.087773284,17,Part-time,High,676,Male,Married,Bachelor,1
Car Loan,56835,0.072407164,13,Part-time,High,542,Male,Single,Bachelor,0
Education Loan,50429,0.077307281,35,Full-time,Low,444,Male,Divorced,Bachelor,0
Home Loan,83152,0.093413492,39,Part-time,Medium,714,Male,Married,Bachelor,0
Education Loan,39458,0.068505162,12,Full-time,Medium,693,Female,Divorced,PhD,0
Home Loan,47169,0.076031812,12,Self-employed,Low,657,Female,Single,Master,0
Car Loan,8659,0.0854864,39,Part-time,Medium,457,Female,Single,Master,0
Home Loan,61614,0.050876483,47,Self-employed,Medium,317,Female,Married,Bachelor,0
Home Loan,78240,0.044226417,31,Full-time,Low,646,Male,Married,Bachelor,0
Home Loan,33793,0.08519176,59,Full-time,Low,357,Female,Married,Bachelor,0
Home Loan,47473,0.087380214,19,Self-employed,Low,454,Male,Married,Master,0
Education Loan,97762,0.110963302,12,Self-employed,Medium,786,Female,Single,High School,0
Home Loan,90388,0.082371423,37,Self-employed,Low,830,Male,Divorced,Master,1
Home Loan,98618,0.092296096,54,Self-employed,Low,786,Female,Married,PhD,0
Personal Loan,89330,0.07706791,36,Part-time,Low,450,Female,Divorced,Master,0
Personal Loan,56751,0.084458408,21,Self-employed,Low,658,Male,Married,PhD,0
Personal Loan,79915,0.105008853,23,Part-time,High,667,Female,Married,Bachelor,1
Home Loan,55254,0.048140108,52,Self-employed,High,346,Male,Single,PhD,0
Personal Loan,8006,0.086204244,18,Self-employed,High,506,Female,Married,Bachelor,0
Education Loan,75218,0.112033801,23,Part-time,Low,749,Male,Married,High School,0
Car Loan,66344,0.084230513,58,Full-time,Medium,782,Male,Married,Bachelor,0
Car Loan,34840,0.104758594,51,Full-time,High,442,Male,Single,Bachelor,1
Car Loan,33430,0.070561818,28,Full-time,Low,699,Male,Divorced,High School,0
Personal Loan,24091,0.079519288,16,Full-time,High,396,Female,Single,Bachelor,0
Home Loan,33983,0.080502871,25,Part-time,High,346,Male,Married,Bachelor,0
Car Loan,24989,0.046736134,45,Full-time,Low,490,Male,Married,Bachelor,0
Education Loan,76451,0.062477333,59,Part-time,Low,439,Male,Married,Master,1
Personal Loan,19990,0.063546874,28,Part-time,High,530,Male,Divorced,PhD,0
Personal Loan,91270,0.092330991,46,Part-time,Low,639,Female,Divorced,Bachelor,0
Education Loan,81360,0.093082297,12,Part-time,High,790,Male,Married,Master,0
Home Loan,37081,0.084860547,47,Part-time,High,348,Female,Married,Bachelor,0
Home Loan,12033,0.092361543,26,Self-employed,High,752,Female,Divorced,PhD,1
Education Loan,17241,0.077537759,30,Part-time,High,615,Male,Single,Bachelor,0
Education Loan,6939,0.098028975,53,Full-time,Medium,621,Male,Single,PhD,0
Personal Loan,48562,0.080131827,16,Part-time,Medium,386,Male,Divorced,Master,0
Education Loan,36063,0.080867961,30,Full-time,Low,773,Male,Divorced,Master,0
Home Loan,77721,0.076016111,54,Part-time,Medium,581,Female,Married,Bachelor,0
Home Loan,28045,0.090266757,50,Full-time,Medium,373,Female,Divorced,High School,0
Home Loan,45769,0.073682018,16,Part-time,Low,752,Male,Divorced,PhD,0
Home Loan,48118,0.094646471,23,Self-employed,High,346,Male,Married,Bachelor,1
Home Loan,85703,0.063017763,30,Full-time,Medium,395,Female,Divorced,Master,1
Personal Loan,22625,0.063516256,58,Full-time,Medium,330,Female,Married,Bachelor,0
Education Loan,28076,0.090311401,23,Part-time,Medium,833,Male,Single,PhD,0
Education Loan,65805,0.078671837,47,Full-time,Medium,316,Male,Single,Bachelor,0
Car Loan,45605,0.073191629,23,Part-time,High,511,Male,Single,PhD,1
Personal Loan,85565,0.093350866,29,Self-employed,Low,534,Male,Married,Master,0
Personal Loan,89509,0.070891079,59,Self-employed,Medium,691,Male,Single,High School,0
Personal Loan,40121,0.076996981,54,Part-time,Medium,653,Male,Single,High School,0
Personal Loan,66101,0.100988419,45,Part-time,Medium,604,Female,Married,Master,0
Personal Loan,32433,0.103087135,59,Self-employed,Medium,849,Female,Married,Master,0
Home Loan,44309,0.103585973,44,Full-time,Low,839,Female,Single,Bachelor,0
Car Loan,68468,0.075768113,29,Full-time,High,808,Female,Single,Master,0
Home Loan,45254,0.098460544,40,Full-time,Low,694,Male,Single,Master,0
Car Loan,68293,0.065765708,56,Self-employed,Medium,730,Male,Divorced,PhD,0
Personal Loan,97258,0.066396457,16,Part-time,Medium,476,Female,Married,Bachelor,0
Personal Loan,38853,0.044743162,36,Self-employed,Low,705,Male,Married,PhD,0
Education Loan,39405,0.105093023,35,Full-time,High,600,Male,Married,Bachelor,0
Personal Loan,67652,0.067040302,40,Part-time,High,744,Male,Married,Bachelor,0
Personal Loan,44527,0.078102011,49,Part-time,High,426,Female,Single,High School,0
Personal Loan,78227,0.066345135,44,Full-time,High,648,Female,Married,High School,0
Personal Loan,1492,0.090427479,21,Part-time,Low,320,Female,Divorced,Master,0
Personal Loan,94418,0.074365495,48,Full-time,Low,719,Female,Divorced,Bachelor,0
Car Loan,9811,0.060427747,44,Self-employed,High,451,Female,Single,Master,1
Education Loan,94344,0.086624938,34,Part-time,Low,459,Female,Single,PhD,0
Personal Loan,25272,0.05849405,22,Full-time,Low,779,Female,Married,Master,0
Personal Loan,94935,0.067438914,35,Full-time,Medium,742,Male,Single,PhD,1
Personal Loan,73010,0.048396663,35,Self-employed,Low,395,Female,Single,High School,0
Car Loan,93492,0.058640628,18,Part-time,Low,651,Male,Single,High School,0
Car Loan,48153,0.082677938,32,Part-time,High,374,Male,Divorced,PhD,0
Education Loan,55110,0.050531959,31,Part-time,Low,658,Female,Married,PhD,1
Personal Loan,14979,0.057782814,21,Part-time,High,432,Male,Single,PhD,0
Education Loan,29328,0.079964466,36,Self-employed,Medium,699,Male,Married,Master,1
Home Loan,13867,0.071845897,58,Self-employed,Medium,438,Female,Married,PhD,0
Car Loan,60234,0.10988055,47,Part-time,Low,545,Male,Married,Bachelor,0
Personal Loan,26851,0.107508448,59,Full-time,Low,590,Female,Divorced,PhD,0
Car Loan,32279,0.066981163,58,Part-time,High,411,Male,Married,High School,0
Education Loan,97063,0.088357064,26,Part-time,Medium,469,Male,Married,PhD,1
Home Loan,74402,0.091239238,55,Full-time,High,539,Male,Single,High School,0
Personal Loan,16449,0.071037817,51,Part-time,Low,636,Male,Single,High School,0
Car Loan,77221,0.057566877,51,Full-time,Medium,437,Female,Divorced,Master,1
Home Loan,90080,0.079815523,17,Self-employed,Low,535,Female,Married,PhD,0
Education Loan,6451,0.077407315,48,Full-time,Medium,302,Female,Divorced,High School,0
Education Loan,88178,0.073463533,13,Self-employed,High,415,Male,Married,Bachelor,0
Car Loan,42316,0.086634753,23,Part-time,Low,771,Male,Divorced,PhD,0
Car Loan,64064,0.068739056,15,Full-time,Low,430,Male,Married,PhD,0
Personal Loan,64761,0.062720037,34,Full-time,Medium,782,Male,Single,High School,0
Education Loan,39870,0.081636245,24,Part-time,High,700,Female,Divorced,Master,0
Personal Loan,97566,0.085789551,28,Self-employed,Medium,500,Male,Single,Master,1
Car Loan,31873,0.062350326,42,Full-time,Medium,591,Female,Married,PhD,0
Home Loan,59627,0.093921359,27,Full-time,Medium,641,Male,Divorced,PhD,0
Personal Loan,67155,0.053442783,52,Part-time,Low,515,Male,Single,Master,0
Education Loan,26372,0.071328298,37,Self-employed,High,665,Female,Single,Master,0
Car Loan,4642,0.076129872,39,Part-time,High,768,Female,Single,Bachelor,0
Car Loan,29001,0.070456644,12,Full-time,High,717,Female,Married,PhD,0
Personal Loan,35064,0.071524093,58,Part-time,Medium,326,Female,Divorced,PhD,0
Personal Loan,95826,0.108066117,23,Part-time,High,754,Male,Single,PhD,1
Car Loan,15122,0.067236739,48,Self-employed,High,313,Female,Married,Master,0
Personal Loan,25820,0.116618326,31,Self-employed,Low,397,Female,Married,High School,1
Car Loan,69431,0.086556902,13,Part-time,Low,578,Male,Married,Bachelor,0
Education Loan,56745,0.081380827,47,Part-time,Low,789,Male,Divorced,Master,0
Home Loan,51081,0.087143605,26,Part-time,Medium,506,Male,Married,Master,0
Personal Loan,71902,0.117948916,49,Full-time,Low,532,Male,Married,Bachelor,0
Education Loan,9711,0.065096105,33,Self-employed,High,538,Female,Divorced,PhD,0
Education Loan,86132,0.063193731,55,Full-time,Low,549,Female,Divorced,High School,1
Personal Loan,19793,0.068677007,43,Self-employed,Medium,605,Male,Married,Bachelor,0
Education Loan,9199,0.080482147,31,Self-employed,Low,762,Female,Married,High School,0
Car Loan,77253,0.054113433,47,Full-time,High,535,Female,Single,PhD,0
Personal Loan,37191,0.080335089,44,Full-time,Low,590,Male,Divorced,High School,1
Home Loan,11211,0.105403207,26,Part-time,Low,338,Female,Divorced,PhD,1
Car Loan,64069,0.082271111,57,Self-employed,Low,482,Female,Single,Master,0
Education Loan,89896,0.075609718,14,Self-employed,Medium,329,Male,Married,PhD,0
Education Loan,57746,0.070727593,40,Self-employed,Medium,687,Female,Married,Bachelor,1
Home Loan,22542,0.093477676,58,Part-time,Medium,442,Female,Married,Bachelor,0
Home Loan,32312,0.067612508,38,Self-employed,Medium,718,Male,Married,PhD,0
Education Loan,46242,0.107695939,16,Self-employed,Medium,373,Female,Single,PhD,0
Home Loan,94783,0.109000396,42,Full-time,Low,354,Male,Divorced,Master,0
Home Loan,88893,0.083851262,33,Full-time,Low,323,Male,Divorced,Master,0
Education Loan,56388,0.079827274,46,Part-time,Medium,321,Male,Married,PhD,0
Car Loan,28691,0.095459897,18,Self-employed,Medium,727,Male,Single,High School,0
Personal Loan,78960,0.096421978,17,Part-time,Low,331,Male,Married,Master,0
Education Loan,85388,0.067910124,37,Full-time,High,638,Male,Married,Bachelor,0
Home Loan,23601,0.072101673,12,Self-employed,Low,814,Female,Single,Master,0
Home Loan,19020,0.060164788,30,Self-employed,Medium,811,Male,Single,Master,0
Car Loan,9155,0.086135974,18,Part-time,Low,369,Female,Divorced,Master,0
Education Loan,70119,0.089999418,47,Self-employed,Medium,387,Male,Divorced,Master,0
Education Loan,82051,0.059751115,23,Self-employed,Low,518,Male,Married,PhD,0
Home Loan,37777,0.073172016,31,Full-time,Low,569,Male,Married,Master,1
Education Loan,20710,0.059791191,34,Part-time,Low,377,Female,Divorced,High School,1
Home Loan,25532,0.066518003,36,Full-time,High,309,Female,Single,Master,0
Home Loan,19601,0.088265256,41,Part-time,Low,767,Male,Married,Master,0
Home Loan,64227,0.068997769,40,Full-time,Low,635,Female,Married,Bachelor,0
Personal Loan,5967,0.075487611,42,Part-time,High,485,Male,Single,Master,1
Home Loan,85289,0.055590324,29,Self-employed,Low,845,Male,Married,Bachelor,0
Car Loan,21022,0.082804853,52,Self-employed,High,420,Female,Single,Bachelor,0
Education Loan,44463,0.0793359,30,Part-time,High,573,Male,Divorced,PhD,0
Personal Loan,75671,0.069065611,15,Part-time,High,709,Male,Divorced,Bachelor,0
Education Loan,6722,0.077164786,12,Part-time,Low,657,Female,Divorced,Bachelor,0
Car Loan,28413,0.082704423,52,Part-time,Medium,397,Male,Divorced,High School,0
Personal Loan,93772,0.067776978,26,Self-employed,Low,540,Male,Divorced,High School,1
Education Loan,82050,0.057856062,19,Part-time,Medium,413,Female,Married,Bachelor,1
Personal Loan,86867,0.107083616,26,Self-employed,Medium,786,Female,Divorced,PhD,0
Home Loan,84596,0.070500909,26,Self-employed,High,540,Male,Married,High School,0
Home Loan,67732,0.078548598,50,Part-time,High,455,Male,Married,High School,0
Education Loan,13297,0.095162596,33,Self-employed,High,651,Female,Single,PhD,0
Car Loan,69323,0.132935828,29,Part-time,High,343,Female,Married,Master,0
Personal Loan,24816,0.061332703,27,Self-employed,Low,611,Male,Married,High School,1
Personal Loan,41695,0.086747408,13,Part-time,Low,437,Female,Divorced,Bachelor,0
Education Loan,20702,0.069386716,47,Part-time,Medium,735,Female,Divorced,Bachelor,0
Home Loan,26242,0.071918145,31,Full-time,Low,442,Female,Single,Bachelor,0
Personal Loan,56841,0.06919682,27,Full-time,Low,598,Male,Single,PhD,1
Home Loan,68712,0.063115175,14,Part-time,Medium,561,Male,Married,Bachelor,1
Home Loan,86663,0.07938063,41,Full-time,Low,811,Male,Single,Master,0
Car Loan,93764,0.05788246,13,Self-employed,Low,361,Male,Divorced,PhD,1
Home Loan,54574,0.094202113,46,Part-time,High,722,Male,Divorced,High School,1
Home Loan,86744,0.080825044,37,Part-time,High,695,Female,Divorced,PhD,1
Personal Loan,29482,0.086336525,16,Part-time,Medium,330,Female,Married,Bachelor,1
Car Loan,10171,0.073007171,13,Full-time,High,629,Female,Married,PhD,0
Car Loan,99932,0.074491941,31,Full-time,Low,468,Male,Single,PhD,0
Education Loan,4696,0.084313459,45,Self-employed,High,565,Male,Divorced,PhD,0
Education Loan,21058,0.062539241,45,Full-time,High,607,Female,Married,PhD,0
Education Loan,21313,0.074630143,31,Full-time,Medium,758,Female,Married,Master,0
Car Loan,20149,0.067105797,36,Self-employed,Low,484,Female,Single,PhD,0
Home Loan,54521,0.066641468,31,Part-time,Medium,633,Female,Divorced,Bachelor,0
Car Loan,46740,0.048352426,36,Part-time,Low,814,Male,Divorced,High School,0
Home Loan,5956,0.100089899,25,Self-employed,Low,740,Male,Single,Master,0
Education Loan,76731,0.069701919,58,Full-time,Low,690,Female,Single,PhD,0
Education Loan,83612,0.097450641,55,Self-employed,High,553,Male,Single,High School,0
Home Loan,67641,0.096031885,54,Self-employed,Medium,634,Male,Single,Master,0
Home Loan,64811,0.060710004,54,Part-time,Low,699,Male,Divorced,Bachelor,0
Education Loan,53160,0.063673831,50,Full-time,High,465,Male,Divorced,Bachelor,0
Home Loan,52313,0.118407544,23,Part-time,Medium,559,Female,Single,High School,0
Car Loan,64232,0.106263889,59,Part-time,High,303,Female,Married,PhD,0
Education Loan,16417,0.079527222,16,Self-employed,High,418,Male,Married,High School,0
Car Loan,25729,0.083860597,13,Part-time,Low,769,Female,Divorced,Master,0
Education Loan,31099,0.070537304,27,Part-time,Medium,769,Male,Divorced,High School,0
Personal Loan,99134,0.086485291,41,Part-time,High,792,Female,Single,High School,0
Car Loan,30961,0.069242271,58,Full-time,High,799,Female,Married,PhD,1
Personal Loan,13602,0.049514694,54,Full-time,High,369,Female,Divorced,Bachelor,0
Education Loan,10256,0.060176663,49,Part-time,High,669,Female,Married,PhD,0
Car Loan,87120,0.080316391,56,Self-employed,Low,480,Female,Single,Bachelor,0
Car Loan,35681,0.063033991,53,Self-employed,Low,304,Female,Divorced,PhD,0
Car Loan,92328,0.078990838,35,Part-time,Medium,496,Female,Divorced,Bachelor,0
Home Loan,88440,0.063880084,41,Full-time,High,346,Male,Married,PhD,1
Car Loan,65789,0.068264691,48,Self-employed,Low,439,Female,Married,Bachelor,0
Car Loan,44361,0.09279748,50,Self-employed,Medium,839,Male,Divorced,Bachelor,0
Personal Loan,65503,0.083712208,22,Full-time,Medium,726,Female,Married,Bachelor,0
Car Loan,35540,0.079855034,25,Full-time,Low,609,Female,Married,Bachelor,0
Home Loan,27536,0.09318446,34,Self-employed,Low,573,Female,Single,PhD,0
Car Loan,85700,0.087209129,27,Part-time,High,838,Male,Married,Master,0
Personal Loan,64043,0.101698449,32,Self-employed,Low,689,Male,Divorced,Bachelor,0
Car Loan,79532,0.073102111,15,Full-time,Low,758,Male,Single,Bachelor,0
Car Loan,57575,0.073555475,44,Full-time,Low,660,Male,Divorced,Bachelor,0
Personal Loan,3871,0.060483361,58,Full-time,Medium,368,Male,Single,Bachelor,1
Education Loan,47002,0.073565289,25,Full-time,Low,730,Female,Single,Bachelor,0
Car Loan,50812,0.094471548,30,Part-time,Medium,331,Male,Married,High School,0
Education Loan,23626,0.099499811,16,Self-employed,Medium,812,Male,Married,High School,0
Personal Loan,60979,0.094404578,47,Full-time,Low,481,Male,Divorced,Bachelor,1
Personal Loan,77057,0.053087122,42,Full-time,Medium,547,Female,Married,Bachelor,0
Education Loan,67668,0.096247178,56,Full-time,High,596,Female,Single,Bachelor,0
